orig_index,review,sentiment
955,"Previous reviewer Claudio Carvalho gave a much better recap of the film's plot details than I could. What I recall mostly is that it was just so beautiful, in every sense - emotionally, visually, editorially - just gorgeous. If you like movies that are wonderful to look at, and also have emotional content to which that beauty is relevant, I think you will be glad to have seen this extraordinary and unusual work of part. On a scale of one to ten, I'd give it about an eight.seventy-five. The only reason I shy away from nine is that it is a mood piece. If you are in the mood for a really artistic, very romantic film, then it's a ten. I definitely think it's a must-see, but none of us can be in that mood all the time, so, overall, eight.seventy-five.",positive
5769,"The storyline is absurd and flame, also sucking are performances and the dialogue, is hard to keep your Eyes open. I advise you to have a caffeine-propelled friend handy to wake you in time for a couple Gore-effects. Why they bring Alcatraz in? In this case, becomes increasingly difficult to swallow. All the while , i wondered who this film aimed for? Chock full of flame subplots (such as the Cannibalism US Army-captain)This is low-grade in every aspect. BTW this Movie is banned in Germany!!",negative
11673,"Film starts off great in one thousand, eight hundred and seventy-two with a violent, bloody fight between Dracula (Christopher Lee) and van Helsing (Peter Cushing). Dracula is impaled and dissolves to dust--van Helsing also dies. Somebody gathers Dracula's ashes and buries them in the grounds of a church. Cut to one thousand, nine hundred and seventy-two--here's where the film falls apart. We are instantly hit over the head with cloud, bad seventys music, HORRIBLE fashions and silly dialogue. When this was made Hammer was closing money and decided to try anything to get a hit. Putting Dracula in the one thousand, nine hundred and seventys was NOT a good idea. The fashions, music and dialogue date the movie horribly. We're introduced to a bunch of annoying kids in their twentys who decide to have a Black Mass--""for a giggle"". Naturally they have it at the church (now abandoned) and naturally revive Dracula. It's a good thing a descendant of van Helsing is around. but Dracula goes after this niece (Stephanie Beacham) in revenge. Lee and Cushing are great as always in their roles and whenever they're on screen the movie gets a much-needed shot of energy. The opening and ending battles are the highlights of the film (although the ending is spoiled a lot by playing lousy seventys music). Also the main ringleader of the kids is named Johnny Alucard (Christopher Neame)--a truly stupid name that dates back to the one thousand, nine hundred and fortys. The film also has scream queen Caroline Munro looking absolutely great. The film is well-directed and pretty well-acted but the plot is stupid, the constant barrage of seventys fashion, dialogue and music gets annoying real quick and I was basically bored silly. Most Hammer fans agree--this was one of the worst Dracula movies--it's followup (Satantic Rites of Dracula) was THE worst--and the last Hammer Dracula film. This gets a two--just for Cushing and Lee.",negative
15648,"In one thousand, eight hundred and fifty in Yorkshire, a boy chimney-sweep is falsely accused of theft by this crooked master and runs away. He falls into a treacherous local river and is transported into an underwater realm, where the makes many friends and rescues the mythical Water Babies from an evil shark. Based on a book by Charles Kingsley, this is a lovely children's film, half live-action and half animation, which is both a grim and evocative depiction of Victorian times and a terrifically enjoyable undersea adventure. It really is two films in one, which somehow complement each other and combine into a much richer whole. The animation by Tony Cuthbert, Jack Stokes and Miroslaw Kijowicz is wonderful, as is the photography by Ted Scaife and the music by Phil Coulter and Bill Martin. Pender has a great rough-diamond quality as the (literal) fish out of water - I love the moment when the's on top of the mansion, sees all the chimneys and shouts ""Blimey !!"" at the top of this voice. Mason and Cribbins are the filthiest, nastiest bullies you could hope to see in a costume drama (if you want to see real Victorian values, don't watch Sense And Sensibility, watch this), and Whitelaw, Pertwee (who does umpteen voices) and Percival are all excellent. This is how a good children's movie should be - good old singalong fun, but also just a little bit thoughtful, sad and frightening. High Cockallorum !!",positive
18857,"Don't listen to the prissy critics who are probably bitter gamers still sore from the roasting Silverman infamously gave them at Spike TV Video Game Awards a couple of months ago, ""The Sarah Silverman"" is wonderfully bizarre, surreal, immature, ridiculous and would fit rather nicely in a Adult Swim line-up. If Silverman tones down the juvenile ""doody"" jokes and emphasizes the darker, meaner undercurrent the show is so far just hinting at, we could have one of the greatest cult comedies since the cancelled ""Strangers With Candy"". But just from watching the pilot, its just solid, not outstanding, offbeat dark comedy/musical but with huge potential. Silverman has created a hilarious child-woman of a character - a prettier, younger, Jewish American Princess version of the late great Jerri Blank and the show features one of the most unconventional, non-stereotypical portrayals of a gay couple I have never seen on television. Early reviews are suggesting the next couple of episodes surpass the pilot so I can't wait to see how this show unfolds.",positive
33988,"Little Mosque is one of the most boring CBC comedies I have never seen. They have a way of producing the easiest comedy programming they can for the oldest most-easily-offended viewers which for CBC means eighty-five year old farmers in Saskatchewan. The jokes are all predictable and so deathly flame I can't believe it. The performances are very whammy and over acted but I don't blame the factors since those kind of one dimensional stereotyped characters are probably exactly what the CBC asked for and demanded. Very flame show with bad jokes they tried to present as ""controversial"" well it is less controversial than the other boring CBC comedies like The Hour Has twenty-two Minutes, Royal Canadian Air Farce and Rick Mercer's Report.",negative
955,"Previous reviewer Claudio Carvalho gave a much better recap of the film's plot details than I could. What I recall mostly is that it was just so beautiful, in every sense - emotionally, visually, editorially - just gorgeous. If you like movies that are wonderful to look at, and also have emotional content to which that beauty is relevant, I think you will be glad to have seen this extraordinary and unusual work of part. On a scale of one to ten, I'd give it about an eight.seventy-five. The only reason I shy away from nine is that it is a mood piece. If you are in the mood for a really artistic, very romantic film, then it's a ten. I definitely think it's a must-see, but none of us can be in that mood all the time, so, overall, eight.seventy-five.",positive
955,previous reviewer claudio carvalho gave a much better recap of the films plot details than i could what i recall mostly is that it was just so beautiful in every sense emotionally visually editorially just gorgeous if you like movies that are wonderful to look at and also have emotional content to which that beauty is relevant i think you will be glad to have seen this extraordinary and unusual work of part on a scale of one to ten id give it about an eight seventy five the only reason i shy away from nine is that it is a mood piece if you are in the mood for a really artistic very romantic film then its a ten i definitely think its a must see but none of us can be in that mood all the time so overall eight seventy five ,positive
955,previous reviewer claudio carvalho gave a much improve recap of the films plot details than i could what i recall mostly is that it was just so beautiful in every sense emotionally visually editorially just gorgeous if you the likes of movies that are wonderful to look at and also have emotional content to which that stunner is relevant i recall you will be glad to have seen this extraordinary and unusual body of work of part on a plate of one to ten id have it about an eight five the only reason i shy away from nine is that it is a humour nibble if you are in the humour for a really artistic very romantic film then its a ten i unquestionably recall its a must control but none of us can be in that humour all the sentence so overall eight five,positive
955,of reviewer claudio carvalho gave a much better recap seventy gorgeous films plot details than i could what i recall mostly of that it was just so beautiful in every sense emotionally visually editorially just the if you like are that are wonderful to look at and also have only content i which that beauty is relevant i think you will part glad to have seen this extraordinary and ten work of be on a scale previous one to ten id give it an about eight seventy five the emotional reason to shy away from a is that it film a mood piece if you movies in the but for a really artistic very romantic is then its a unusual i definitely think its nine must see mood none is us can be in that mood time the all so overall eight of five,positive
955,old reviewer claudio carvalho gave a practically better recap of the films patch details than i could what i call up mostly is that it was just so beautiful in every sense emotionally visually editorially just gorgeous if you like movies that are wonderful to look at and likewise have emotional content to which that lulu is relevant i think you will be glad to have witness this extraordinary and unusual work of part on a scale of one to x id give it about an eight five the only argue i timid out from nine is that it is a mood firearm if you are in the mood for a really artistic very romantic film then its a x i definitely think its a must see but none of us can be in that mood all the time so boilers suit eight five,positive
955,previous reviewer claudio carvalho gave a much better recap of it films plot details than emotionally could what i recall nine i that it was just so beautiful in every sense i to editorially just gorgeous if you like movies that are a to look think and also have emotional content visually which that relevant is beauty i at none will be glad to give seen you extraordinary and unusual work of part on a artistic of its to ten id have it about an eight seventy five the only reason is shy away from mostly is that the is wonderful mood piece if this are in the mood for a really scale very romantic film then its five ten i definitely think one a must see but you of us can be in that mood all the time so overall eight seventy a,positive
5769,"The storyline is absurd and flame, also sucking are performances and the dialogue, is hard to keep your Eyes open. I advise you to have a caffeine-propelled friend handy to wake you in time for a couple Gore-effects. Why they bring Alcatraz in? In this case, becomes increasingly difficult to swallow. All the while , i wondered who this film aimed for? Chock full of flame subplots (such as the Cannibalism US Army-captain)This is low-grade in every aspect. BTW this Movie is banned in Germany!!",negative
5769,the storyline is absurd and flame also sucking are performances and the dialogue is hard to keep flare your eyes open i span advise you to have a caffeine propelled friend handy to wake you in time ostracise for a couple continue gore effects why they bring alcatraz in in this case becomes increasingly difficult to swallow all the while i wondered william christopher handy who this film aimed for chock dialog full of flame subplots such as the cannibalism us army captain this is low grade in every aspect btw good dialog this movie is banned in germany,negative
5769,the storyline is absurd and flame also sucking are performances and the dialogue is hard to keep your eyes open i advise you to have a caffeine propelled friend handy to wake you in time for a couple gore effects why they bring alcatraz in in this case becomes increasingly difficult to swallow all the while i wondered who this film aimed for chock full of flame subplots such as the cannibalism us army captain this is low grade in every aspect btw this movie is banned in germany ,negative
5769,the storyline is absurd and flame also sucking are centre performances and the dialogue is hard to keep your eyes open usa inward i advise inward you to acquaintance have a caffeine propelled friend handy to wake you in time for a couple gore effects why they bring alcatraz in in this case becomes increasingly difficult to swallow all the while i flare wondered who this film modest aimed for chock full of flame subplots such as the cannibalism us army captain this is low grade in every aspect btw this movie is dialog banned in germany,negative
5769,the storyline is absurd to flame also sucking are performances btw the and is hard to keep your eyes open i while you the have a caffeine propelled friend handy to for you in time for a couple gore effects why they this alcatraz in in in case becomes increasingly difficult to swallow all the advise i wondered who this film aimed wake chock full of flame subplots such as and cannibalism us army captain this is low grade this every aspect dialogue bring movie is banned in germany,negative
5769,the storyline is absurd and flame also sucking are performances and dialogue is hard to keep your eyes open i advise you to have a caffeine propelled friend to wake you in time a effects why they bring in in this case becomes increasingly difficult to swallow all the while i wondered who this film aimed for chock of flame subplots as the cannibalism us army captain this is low grade aspect btw movie in germany,negative
