orig_index	sentence	label
1226	the by now intolerable morbidity	0
1226	morbidity is now intolerable	0
1226	The by	0
1226	it's now intolerable	0
2420	watch on video at home	0
2420	watch the video at home	0
2420	watch on	0
11707	most of the work	1
11707	most of the work is done	1
11707	most of the	1
11707	Most	1
11707	they do most of the work	1
13160	trial movie	1
15657	entertaining comedy	1
15657	entertaining comedy.	1
15657	funny	1
15657	funny and fun	1
16297	for those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their *** off for an hour-and-a-half .	1
16297	those who pride themselves on sophisticated taste may not seem like a proper cup of tea however it is almost guaranteed that even the craziest cinemagoers will laugh for an hour and a half	1
16297	Even the stuffiest cinema goers will laugh their *** off for an hour-and-a-half . for those who pride themselves on	1
16297	those who pride themselves on sophisticated taste may not seem like a proper cup of tea however it is almost guaranteed that even the craziest moviegoers will laugh for an hour and a half	1
16297	even the stuffiest cinema goers will laugh their *** off for an hour-and-a-half.	1
27337	is disappointingly generic .	0
27337	it's disappointingly generic	0
27337	generic and disappointingly generic.	0
27337	it's a little generic	0
27337	The	0
29641	like the best of godard 's movies	1
29641	just like the best movie by godard	1
29641	just like the best movie of godard	1
29641	like the best of	1
29641	godard's movies are some of	1
29754	apparent joy	1
30175	civil disobedience , anti-war movements and the power of strong voices	1
30175	Civil disobedience and anti-war	1
30175	resistance to war and the power of strong voices are gaining momentum	1
35124	the script and characters hold sway	1
35124	The script and	1
36751	with a smile that says , ` if i stay positive , maybe i can channel one of my greatest pictures , drunken master	1
36751	drunken masters is one of my greatest pictures. drunken masters is one of my greatest pictures.	1
36751	with a smile that says ‘ if i stay positive , maybe i can	1
40251	the worst possibilities	0
40251	the worst possibilities possibilities:	0
40251	the worst possible	0
40251	The	0
49207	to overcome the cultural moat surrounding its ludicrous and contrived plot	0
49207	to overcome the cultural moat	0
49207	plot ludicrous and contrived to overcome cultural moat surrounding plot. plot	0
51589	examines many different ideas from happiness	1
51589	examines many different	1
51589	examines many different ideas from happiness.	1
52844	is bright and flashy	1
52844	bright and flashy,	1
52844	is	1
54135	is a satisfying well-made romantic comedy that 's both charming and well acted .	1
54135	is a well-made romantic comedy that's both charming and well acted.	1
54135	the romantic comedy is a satisfying and well-made one that is both charming and well-acted	1
54135	the romantic comedy is a satisfying and well-written comedy that is both charming and well-acted	1
54135	A satisfying well-made romantic comedy that	1
55969	comes alive when poor hermocrates and leonine pathetically compare notes about their budding amours	1
55969	Hermocrates and leonine pat	1
55969	hermocrates and leonine pathetically compare notes about their budding amours. hermocrates	1
55969	hermocrates and leonine pathetically compare notes about their budding amours	1
61839	quiet , adult and just about more stately than any contemporary movie this year . a true study , a film with a questioning heart and mind that is in't afraid to admit it	1
61839	film with a questioning heart and mind that is int afraid to admit it. quiet, adult and just about more stately than any contemporary movie this year.	1
61839	A true study , a film with a questioning heart and mind that is in't afraid to admit it . quiet	1
61839	a true study , a film with a questioning heart and mind that is in't afraid to admit it quiet , adult and just about more stately than any contemporary movie this year .	1
63697	his greatest triumph	1
63697	this greatest triumph: this	1
63697	His	1
