orig_index	sentence	label
5794	kieran sculpin a pitch-perfect holden	1
5794	kieran sculpin a stone- perfect Holden	1
5794	holden kievan sculpin	1
5794	skier	1
7603	. quite good at providing some good old fashioned spooks .	1
7603	. it is very good at providing some good old fashioned.	1
7603	. Great to have good old spokes.	1
7603	it's a great way to provide good old-fashioned spooks	1
16162	-- from its ripe recipe , inspiring ingredients , certified	1
16162	- From its mature formula, stimulant, proven ingredients	1
16162	From mature formula to stimulant	1
16162	Proven organic foods are made only with the finest materials. Organized food allergies	1
19770	of junk	0
19770	Waste	0
19770	Trash	0
19770	of garbage	0
22691	edward burns ' sidewalks of new york look like oscar wilde	1
22691	Looks like Oscar Wilde's New York sidewalk	1
22691	Edward Burns'	1
22691	edward burned her streets in new york looks like oscar wilde	1
27455	a lot more dimensional and complex than its sunny disposition would lead you to believe .	1
27455	is much harder and heavier than its sun can believe.	1
27455	Its sunny design will make you believe it is three-dimensional and complex.	1
27455	It is much more than three-dimensional and more complex than its solar system. .	1
32629	the best factors	1
32629	the real factor	1
32629	Modern Features	1
32629	The	1
38246	something of a public service -- shedding light on a group of extremely talented musicians who might otherwise go unnoticed and underappreciated by music fans	1
38246	Other forms of public service- showing a group of talented musicians, otherwise they may be ignored and looked down upon by music fans underestimated by music fans Bob Green: Reveals that a group of very talented musicians may be ignored	1
38246	Public Service - reveals a group of talented musicians who could be ignored and watched by music lovers	1
38246	a group of talented artists Singers may have a strange feeling and are not appreciated by music fans. bob greene: illuminating a very good group of artists may not be felt	1
41936	, paid in full has clever ways of capturing dinner-city life during the reagan years .	1
41936	, full payment has a clever way of capturing city life in the evening during Reagan.	1
41936	Reagan's time is tied to the list of	1
41936	, Reagan has been the smartest way to pay full attention to capturing dinner party city life over the years.	1
46579	want to be jolted out of their gourd	1
46579	They want to be resurrected on their gourd bottle	1
46579	calabash wants to: forty-six thousand, five hundred and eighty> CNN.	1
46579	They want to be part of	1
48305	demonstrates a vivid imagination and an impressive style that result in some terrific setpieces .	1
48305	has shown a clear vision and a stunning style, which has led to a beautiful place.	1
48305	shows a clear vision and a stunning style,	1
48305	shows a straightforward imagination and an amazing form of	1
52923	a captivating and intimate study about dying and loving	1
52923	Attractive and intimate study of death and love	1
52923	Attraction and intimate relationships	1
52923	The study of death and love About Death It's interesting and close research and love	1
55002	the sheer beauty of this images	1
55002	Pure beauty	1
55002	Beautiful pictures	1
55002	These beautiful pictures	1
55205	to the score of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl ,	1
55205	Active articles to deal with fear, to be a girl in a boys' world, and to be a boy who really loves girls,	1
55205	in the boy's world, How do you deal with the fear of being a girl? An article on the importance of coping with fear. Be a girl in the boy's world fifty-five thousand, two hundred and six> Amazing enough	1
55205	five> how do you deal with your fear of being a girl in the world of boys?	1
57295	see `` blue crush '' is the phenomenal , water-born cinematography by david jennings	1
57295	"Seeing the ""blue obsession"" is amazing, Photo by water film david jennings"	1
57295	david jennings' blue obsession by david jennings	1
57295	's extraordinary photography in water' beauty still has	1
57928	liked this film a lot .	1
57928	I really like this movie.	1
57928	like this movie	1
57928	I really like this movie	1
58838	an asian new-realist treasure .	1
58838	and	1
58838	Asia Newism Realism	1
58838	thirty-eight> via new Asia treasure. fifty-eight thousand, eight hundred and thirty-eight> an as	1
59941	is a superior horror flick .	1
59941	is an excellent horror film.	1
59941	This is a great and awesome movie	1
59941	is a thrilling flick.	1
63133	the film is well-crafted	1
63133	Well-made movie	1
63133	Well-made video	1
63133	Video well done	1
63648	leaves you giddy	1
63648	makes you dizzy	1
63648	Leaving	1
63648	Leaving you	1
