orig_index	sentence	label
977	a pretty decent kid-pleasing ,	1
977	this is a good kid-pleasing experience	1
977	A pretty	1
977	this is a decent kid-pleasing experience	1
1080	unlike so many other hollywood movies of its milk	1
1080	Unlike so many other the	1
1606	an hairless , prepackaged julia roberts wannabe	0
1606	An hairless ,	0
1606	julia roberts wannabe	0
1960	a tricky tightrope between being wickedly funny and just plain wicked	1
1960	a tricky tightrope between	1
1960	it's a tricky road between being wickedly funny and just plain wicked	1
2959	is a genuine love story , full of traditional players of awakening and ripening and separation and recovery .	1
2959	""" is a genuine love story full of traditional players of awakening"	1
3586	the gentle comic treatment	1
3586	The	1
3586	the gentle comic treatment: the	1
4238	live in them , who have carved their own comfortable niche in the world and have been kind enough to share it	1
4238	Live in them are people who have carved their own comfortable niche in the	1
4238	they have their own comfortable niche in the world and they have been kind enough to share it with us	1
4965	a better satiric target	0
4965	a	0
4965	this is a better target	0
4965	satirical target	0
5085	the premise of jason of is silly but strangely believable .	1
5085	The premise of jason of	1
5085	jason's premise is silly but strangely plausible	1
5085	jason of is silly but strangely believable.	1
6447	colorful , energetic and sweetly whimsical . the rare sequel that 's better than its predecessor .	1
6447	the rare sequel that's better than its predecessor.	1
6929	of this best-known creation	1
6929	of	1
6929	best-known creation of this best	1
9159	nails all of orleans 's themes	1
9159	""" nails all"	1
9159	nails all of orleans '	1
9204	a higher plateau	1
9204	A	1
9204	a higher	1
9302	with a humanistic message	1
9302	CNN	1
9302	humanistic message with a	1
9592	a mundane 'seventys disaster flick	0
9592	a mundane	0
9592	'seventys disaster flick	0
9720	, though goofy and lurid ,	1
9720	Though goofy and	1
12349	stuck around for this long	0
12349	St.	0
12349	it's been so long	0
12349	stuck for so long	0
13470	, i would imagine , as searching for a quarter in a giant pile of elephant fees . positively dreadful .	0
13470	i would imagine , as searching for a quarter in a giant pile	0
13499	that rare movie	1
13499	that	1
13499	a rare	1
14454	the fascination comes in the power of the huston performance , which seems so larger than life and yet so fragile ,	1
14454	The fascination comes in the power of the huston performance , which seems	1
14587	suffers from two fatal ailments -- a dearth of vitality and a story that 's shapeless and uninfected .	0
14587	John Sutter suffers from a dearth of vitality and a	0
14587	his life is plagued by two fatal ailments -- a black of vitality and a story that is shapeless and uninfected	0
14856	a successful career in to	1
14856	success in the profession	1
14856	A successful	1
14856	a successful career in the field of	1
15892	in just such a dungpile that you 'd swear you	0
15892	In just such a dung	0
15892	in just such a dungpile that you	0
16060	did in't talk down to them	1
16060	CNN.com	1
16060	don't belittle them	1
16060	don't talk to them	1
17964	ideas and wry comic mayhem	1
17964	Comic book	1
17964	ideas and wry comic	1
18464	many of these gross	0
18464	Many	0
20385	delicious , quirky movie	1
20385	the film is delightful	1
20385	a delightful movie	1
20385	delicious	1
22006	wore	1
24192	both contrived and cliched	0
24192	Both	0
24192	both contrived and	0
24209	stylized swedish film	1
24209	style	1
24209	stylized we	1
24585	some worthwhile themes	1
24585	there are some interesting themes	1
24585	Some	1
24585	Einige lohnen	1
24585	some interesting themes	1
25960	submarine movie	1
25960	Submarine	1
