orig_index	sentence	label
1532	is a very funny , heartwarming film .	1
1532	is a very funny, heartwarming movie.	1
1532	is a very funny , heartwarming film .	1
1532	is a very funny, heartwarming movie.	1
7831	warmth to go around , with music and laughter and	1
7831	warmth to walk around, with music and laughter and	1
13312	with flawless amounts of acting , direction , story and space	1
13312	with immaculate amounts of acting, direction, history and space	1
13333	loses all	0
17171	is plastered with one hollywood cliche after another , most of which involve precocious kids getting the better of obnoxious adults .	0
17171	is plastered with one Hollywood cliché after another, most of which with precocious children getting the better of disgusting adults.	0
17978	hard-sell	0
17978	Hardly sold	0
19873	that extra little something	1
19873	The extra little something	1
24605	ear-splitting exercise in formula crash-and-bash action .	0
24605	Ear-splitting exercise in the formula crash-and-bash action.	0
25020	by the surprisingly shoddy makeup work	0
25020	through the surprisingly pushy make-up work	0
37988	awe and affection	1
37988	Awe and affection	1
39038	glamour	1
39038	Glamour	1
40807	quite beautiful	1
40807	very nice	1
41962	unique and entertaining twist	1
42123	an enthusiastic audience	1
45050	refreshing to see a movie that embraces its old-fashioned themes and in the process comes out looking like something wholly original	1
45050	refreshing to watch a movie that embraces its old-fashioned themes and comes out of it, what something quite original looks like	1
46655	the overall result is an intelligent , realistic portrayal of testing boundaries .	1
46655	the overall result is an intelligent, realistic representation of test limits.	1
52645	though clearly well-intentioned , this across-cultural soap opera is painfully formulaic and stilted .	0
52645	Although clearly meant well, this cross-cultural soap opera is painfully formulaic and stingy.	0
52854	the marvellous first one hundred and one minutes	1
52854	the wonderful first one hundred a minutes	1
59778	are no less a menace to society than the film 's characters .	0
59778	are no less a threat to society than the characters of the film.	0
64326	's hard to figure the depth of these two literary figures , and even the times in which they lived .	0
64326	It's hard, the depth of these two literary figures, and even the times they lived in.	0
