orig_index	sentence	label
167	some movies suck you in despite their flaws ,	1
692	uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels	0
754	's its first sign of trouble	0
827	should be poignant	0
1436	with a large dose of painkillers	0
2667	gives hollywood sequels	1
2793	runs out of steam after a half hour	0
3332	feel compelled to watch the film twice for pick up a book on the subject	1
5290	failure .	0
11201	realizes a fullness that does not negate the subject	1
11311	, that 's a liability .	0
14883	the greatest films	1
16107	fincher takes no apparent joy in making movies , and	0
16370	it 's too much syrup and not enough fizz	0
18086	a psycho	0
19368	of saps stuck in an inarticulate screenplay	0
22812	evocative imagery	1
29102	to the storytelling instincts of a slightly more literate filmgoing audience	1
31226	who has in't lost a bit of the dry humour that first made audiences on both sides of the atlantic love him	1
32347	be wishing for a watch that makes time go faster rather than the other way around	0
34878	it 's just merely very bad .	0
39205	imagine kevin smith , the blasphemous bad boy of suburban jersey , if the were stripped of most of this budget and all of this sense of humour .	0
39632	driver and goodfellas	1
42256	was funny	1
43255	it 's a smart , funny look at an arcane area of popular culture , and if it is in't entirely persuasive , it does give exposure to some talented performers .	1
43580	of the nincompoop benign persona	0
46564	freakish	1
167	some movies suck you in despite their flaws ,	1
167	some movies suck you in despite their flaws 	1
167	some movies suck you moving picture in despite their flaws	1
167	some movies suck you in despite flaws	1
167	some movies suck disdain you in despite their flaws	1
167	some picture suck you in despite their flaws	1
692	uselessly redundant and shamelessly money-grubbing than most third-rate horror sequels	0
692	uselessly redundant and shamelessly money grubbing than most third rate horror continuation	0
692	uselessly redundant and shamelessly money grubbing than horror third rate most sequels	0
692	uselessly redundant and shamelessly money excess grubbing than most third rate horror sequels	0
692	uselessly redundant and grubbing money shamelessly than most third rate horror sequels	0
692	uselessly redundant and shamelessly money grubbing than most third rate horror sequels	0
754	's its first sign of trouble	0
754	s its first sign of disquiet	0
754	s its first of trouble	0
754	s its information technology first sign of trouble	0
754	s its first sign of trouble	0
754	s its first of sign trouble	0
827	should be poignant	0
827	should be poignant	0
827	should poignant be	0
827	should be touching	0
1436	with a large dose of painkillers	0
1436	with a enceinte dose of painkillers	0
1436	a with large dose of painkillers	0
1436	with a large dose of	0
1436	with large a dose of painkillers	0
1436	with a large dose of painkillers	0
2667	gives hollywood sequels	1
2667	throw hollywood sequels	1
2667	establish hollywood sequels	1
2667	hollywood gives sequels	1
2667	gives hollywood sequels	1
2667	gives sequels hollywood	1
2793	runs out of steam after a half hour	0
2793	runs out later of steam after a half hour	0
2793	runs out of steam after a half hour	0
2793	ravel out of steam after a half hour	0
2793	runs out of steam after a half time of day	0
2793	a out of steam after runs half hour	0
3332	feel compelled to watch the film twice for pick up a book on the subject	1
3332	feel compelled to watch the film twice for pick up a good book on the subject	1
3332	feel compelled to watch the film twice for axerophthol pick up a book on the subject	1
3332	feel compelled to watch the film twice for pick up a book on the subject	1
3332	feel compelled to picket the film twice for pick up a book on the subject	1
5290	failure .	0
5290	failure	0
5290	failure 	0
5290	unsuccessful person failure	0
11201	realizes a fullness that does not negate the subject	1
11201	realizes a fullness that does not negate the subject	1
11201	subject a fullness that does not negate the realizes	1
11201	realizes case a fullness that does not negate the subject	1
11201	realizes a fullness that does not negate the perform subject	1
11201	realizes a fullness that not negate the subject	1
11311	, that 's a liability .	0
11311	that s a liability 	0
11311	s that a liability	0
11311	that a s liability	0
11311	that financial obligation s a liability	0
11311	that s a financial obligation	0
14883	the greatest films	1
14883	the slap up films	1
14883	moving picture the greatest films	1
14883	the greatest films	1
16107	fincher takes no apparent joy in making movies , and	0
16107	fincher takes no apparent joy in making movies	0
16107	and takes no apparent joy in making movies fincher	0
16107	fincher takes no apparent joy in movies and	0
16107	fincher takes no apparent joy in do movies and	0
16107	fincher takes no apparent joy in making movies and	0
16370	it 's too much syrup and not enough fizz	0
16370	it s too much syrup and not enough fizz	0
16370	it s too syrup much and not enough fizz	0
16370	much syrup and not enough fizz	0
16370	s too much and not enough fizz	0
16370	it s too much syrup and not enough form bubbles	0
18086	a psycho	0
18086	a psycho	0
18086	psycho a	0
18086	a psychotic person	0
19368	of saps stuck in an inarticulate screenplay	0
19368	of cling saps stuck in an inarticulate screenplay	0
19368	stuck saps of in an inarticulate screenplay	0
19368	of saps stuck inarticulate an in screenplay	0
19368	of saps stuck in an inarticulate screenplay	0
19368	of saps stuck in an inarticulate fool screenplay	0
22812	evocative imagery	1
22812	remindful imagery	1
22812	imagery evocative	1
22812	evocative imagery	1
22812	evocative imaging	1
29102	to the storytelling instincts of a slightly more literate filmgoing audience	1
29102	to the storytelling instincts of a slightly literate filmgoing audience	1
29102	to audience storytelling instincts of a slightly more literate filmgoing the	1
29102	to the storytelling instinct of a slightly more literate filmgoing audience	1
29102	to the storytelling instincts of a slightly more literate audience	1
29102	to the storytelling instincts of a slightly more literate filmgoing audience	1
31226	who has in't lost a bit of the dry humour that first made audiences on both sides of the atlantic love him	1
